country,year,pop,continent,lifeExp,gdpPercap
Afghanistan,1952,8425333,Asia,28.801,779.4453145
Afghanistan,1957,9240934,Asia,30.332,820.8530296
Afghanistan,1962,10267083,Asia,31.997,853.10071
Afghanistan,1967,11537966,Asia,34.02,836.1971382
Afghanistan,1972,13079460,Asia,36.088,739.9811058
Afghanistan,1977,14880372,Asia,38.438,786.11336
Afghanistan,1982,12881816,Asia,39.854,978.0114388
Afghanistan,1987,13867957,Asia,40.822,852.3959448
Afghanistan,1992,16317921,Asia,41.674,649.3413952
Afghanistan,1997,22227415,Asia,41.763,635.341351
Afghanistan,2002,25268405,Asia,42.129,726.7340548
Afghanistan,2007,31889923,Asia,43.828,974.5803384
Albania,1952,1282697,Europe,55.23,1601.056136
Albania,1957,1476505,Europe,59.28,1942.284244
Albania,1962,1728137,Europe,64.82,2312.888958
Albania,1967,1984060,Europe,66.22,2760.196931
Albania,1972,2263554,Europe,67.69,3313.422188
Albania,1977,2509048,Europe,68.93,3533.00391
Albania,1982,2780097,Europe,70.42,3630.880722
Albania,1987,3075321,Europe,72,3738.932735
Albania,1992,3326498,Europe,71.581,2497.437901
Albania,1997,3428038,Europe,72.95,3193.054604
Albania,2002,3508512,Europe,75.651,4604.211737
Albania,2007,3600523,Europe,76.423,5937.029526
Algeria,1952,9279525,Africa,43.077,2449.008185
Algeria,1957,10270856,Africa,45.685,3013.976023
Algeria,1962,11000948,Africa,48.303,2550.81688
Algeria,1967,12760499,Africa,51.407,3246.991771
Algeria,1972,14760787,Africa,54.518,4182.663766
Algeria,1977,17152804,Africa,58.014,4910.416756
Algeria,1982,20033753,Africa,61.368,5745.160213
Algeria,1987,23254956,Africa,65.799,5681.358539
Algeria,1992,26298373,Africa,67.744,5023.216647
Algeria,1997,29072015,Africa,69.152,4797.295051
Algeria,2002,31287142,Africa,70.994,5288.040382
Algeria,2007,33333216,Africa,72.301,6223.367465
